Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Domestic credit to private sector by banks (% of GDP) [FD.AST.PRVT.GD.ZS]
2000,YR2000,Germany,DEU,1966980701145.1,2.87724595591061,1.4402683871974,23.9639660790924,77.9268292682927,30.2163,100,29.6806532498145,..
2000,YR2000,India,IND,468395521654.458,3.84099115659129,4.00943591045191,25.677316683955,62.749,0.527532,60.3,12.9972363113479,28.3395511575183
2000,YR2000,Australia,AUS,416167815092.908,3.9215029305806,4.45743514797223,26.2504640290701,79.2341463414634,46.7561,100,19.3902280759468,87.5351786851453
2000,YR2000,Austria,AUT,196181599831.287,3.18952292988787,2.34486285357281,25.9400787116929,78.1268292682927,33.7301,100,43.591091462861,..
2000,YR2000,Belgium,BEL,236792460312.471,3.71670510672588,2.54451776190909,23.7829613022103,77.7219512195122,29.4317,100,72.5473951580567,..
2000,YR2000,Brazil,BRA,655448231983.527,4.38794944745618,7.04414105947266,18.9031192683871,69.584,2.87069,94.4,10.1880480043795,31.1409857776162
2000,YR2000,China,CHN,1223754919971.05,8.58643201808462,0.347811226864583,33.6326827140045,72.288,1.77591,96.7,20.681599363293,109.886100489001
2000,YR2000,Denmark,DNK,164043817223.59,3.72400899471576,2.90328203236453,22.2944061771116,76.5926829268293,39.1724,100,44.8786835833686,131.921491858454
2000,YR2000,Indonesia,IDN,165021012077.81,4.9200677470169,3.68862037056682,22.2456969315568,66.292,0.925564,86.3,40.9773084738704,19.4493127243582
2000,YR2000,Ireland,IRL,100207610429.909,9.40352464290197,5.57763269940386,24.5079507553549,76.5365853658537,17.8505,100,94.3894577763648,..
2000,YR2000,Israel,ISR,136512300542.025,8.58208942390802,1.0326364099949,25.7054135720842,78.9536585365854,20.8738,100,33.7710777307984,70.2366410540144
2000,YR2000,Italy,ITA,1149661363439.38,3.88209885062652,2.53768532095001,21.3236101039876,79.7780487804878,23.1109,100,25.5611956255751,..
2000,YR2000,Japan,JPN,4968359075956.59,2.76464755136783,-0.67657868359508,28.417439318872,81.0760975609756,29.9907,100,10.4634942027505,181.702379282568
2000,YR2000,"Korea, Rep.",KOR,576179387819.613,9.06083332508534,2.25916580080157,32.8936286973186,75.909756097561,44.7,100,33.9391689573172,70.1710038635161
2000,YR2000,Luxembourg,LUX,21230182989.3036,6.93812976136098,3.15076707022592,22.5591443010138,77.8731707317073,22.8873,100,147.644884433486,..
2000,YR2000,Malaysia,MYS,93789736842.1053,8.85886816969386,..,26.8674891484592,72.732,21.3847,98.6,119.809708726968,126.729338410947
2000,YR2000,Mexico,MEX,742061329749.127,5.02928399378261,9.49156149435403,22.2649246086997,72.562,5.08138,98,24.2311734681303,13.4442241811453
2000,YR2000,Netherlands,NLD,417649282153.726,4.2197537762102,2.36052233801948,22.4588724676077,77.9878048780488,43.9844,100,66.4429411465509,..
2000,YR2000,New Zealand,NZL,52623281956.7031,2.87005108790095,2.6152344624632,22.0345630387436,78.6365853658537,47.3796,100,35.7454584901409,107.895251128598
2000,YR2000,Norway,NOR,171457201935.968,3.31894570142394,3.08550609131276,21.8180384485916,78.6341463414634,52,100,45.612776085856,64.251238460254
2000,YR2000,Portugal,PRT,118605192877.388,3.81617712035907,2.85303039287157,28.7766387963597,76.3146341463415,16.4305,100,28.2046205938904,..
2000,YR2000,Qatar,QAT,17759890109.8901,8.02812545191884,..,20.1512854623643,75.25,4.86368,100,67.2833585991399,26.8191380750549
2000,YR2000,Russian Federation,RUS,259710142196.943,10.0000668136515,20.7987606558704,18.6937601947688,65.4836585365854,1.97723,97.8,44.0604413055146,..
2000,YR2000,Saudi Arabia,SAU,189514933333.333,4.71813422138024,-1.12500055218228,19.3169649955465,72.607,2.21069,100,43.4052690306903,24.2356134468207
2000,YR2000,Singapore,SGP,96076539925.7409,9.03831632555163,..,35.1740359977879,77.9512195121951,36,100,188.350890284751,96.0458219527097
2000,YR2000,Slovenia,SVN,20159190701.6789,3.49791942086068,8.91174418658768,29.0574911701523,75.4121951219512,15.1103,100,50.4595684798996,..
2000,YR2000,South Africa,ZAF,151752757215.309,4.20000000067826,5.33895913599827,15.0602810875446,58.368,5.34856,72.4,24.4043033106919,60.5060286182793
2000,YR2000,Spain,ESP,598102854756.08,5.20064125553942,3.43351563418767,26.6723700485971,78.9658536585366,13.625,100,28.5889225704133,..
2000,YR2000,Switzerland,CHE,279216033870.204,3.95871990780931,1.5585291967901,27.2341910868659,79.6804878048781,47.1,100,51.4377228768854,141.863669273403
2000,YR2000,Sweden,SWE,262905197441.662,4.63111600378974,0.899143734041626,22.2308295866389,79.6439024390244,45.6877,100,43.2446165917328,39.7996919615243
2000,YR2000,Thailand,THA,126392224253.794,4.45524704335014,..,22.2826056940878,71.205,3.68904,82.1,64.840250738685,105.121801168483
2000,YR2000,Turkiye,TUR,274294623164.043,6.93323970455904,54.9153705812683,23.7182041889344,71.931,3.76169,99.9,19.8811989046161,17.2515229522909
2000,YR2000,United Arab Emirates,ARE,104337372362.151,10.852704215378,..,..,76.347,23.6253,100,..,31.2720686676462
2000,YR2000,United States,USA,10250952000000,4.07758576006954,3.37685727149929,23.678356897974,76.6365853658537,43.0792,100,10.6927727297913,48.9748854545412
2000,YR2000,United Kingdom,GBR,1665534876683.31,4.34163419265596,1.18295624210409,18.4186810471387,77.7414634146342,26.8218,100,25.6598216491998,113.945829760019
2000,YR2000,Viet Nam,VNM,31172518403.3162,6.78731640463151,..,29.6099138223826,72.746,0.254248,88.2,53.9214970089166,35.2590740095008
2001,YR2001,Germany,DEU,1966381496641.73,1.63654099437316,1.98385731334472,22.7645716524028,78.3292682926829,31.6509,100,30.5604113813066,111.240170458005
2001,YR2001,India,IND,485440139204.171,4.82396626555771,3.77929312235638,29.9078889827325,63.158,0.660146,62,12.5583796339108,28.6194154254102
2001,YR2001,Australia,AUS,379629301675.108,2.02510553454593,4.40713536201469,23.3930636328424,79.6341463414634,52.6893,100,22.1523263999819,88.3590787133765
2001,YR2001,Austria,AUT,196477206829.33,1.31698749571339,2.65000077279529,25.4261245518381,78.5756097560976,39.1855,100,44.8518101806208,89.7803638574187
2001,YR2001,Belgium,BEL,236746141604.37,1.09960362419645,2.46925823086077,22.6338254993949,77.9731707317073,31.2884,100,71.6119589202939,66.2984721275927
2001,YR2001,Brazil,BRA,559983634798.981,1.38989640095637,6.84035902487524,18.7418602950836,69.98,4.52849,96,12.37171066993,29.0040380210043
2001,YR2001,China,CHN,1355036590251.52,8.31263887091522,0.719125609120118,35.523858010134,72.675,2.63965,97,20.0776873829946,108.600447763989
2001,YR2001,Denmark,DNK,164881594415.341,0.95003224600012,2.33787000255262,21.7493884508849,76.7926829268293,42.9575,100,45.5295862400865,138.613679741025
2001,YR2001,Indonesia,IDN,160446947784.909,3.64346644721492,11.5001160550887,22.539266316067,66.583,2.01861,86.3,39.0321390955111,18.1556997355317
2001,YR2001,Ireland,IRL,109346669229.695,5.30582177251378,4.85280279607477,24.2562415894467,77.1341463414634,23.1388,100,95.2243824665404,71.776397881
2001,YR2001,Israel,ISR,135002039612.906,0.277927326527333,1.1230283911672,25.5112065105127,79.4073170731707,17.3786,100,29.5058979011867,74.3154792954158
